date,city,province,country,lat/long,confirmed,recovered,dead,daily_diff_confirm,daily_diff_recover,daily_diff_dead
2/27/20,,,Singapore,"1.2833,103.8333",93,62,0,0,0,0
2/28/20,,,Singapore,"1.2833,103.8333",93,62,0,0,0,0
2/29/20,,,Singapore,"1.2833,103.8333",102,72,0,9,10,0
3/1/20,,,Singapore,"1.2833,103.8333",106,72,0,4,0,0
3/2/20,,,Singapore,"1.2833,103.8333",108,78,0,2,6,0
3/3/20,,,Singapore,"1.2833,103.8333",110,78,0,2,0,0
3/4/20,,,Singapore,"1.2833,103.8333",110,78,0,0,0,0
3/5/20,,,Singapore,"1.2833,103.8333",117,78,0,7,0,0
3/6/20,,,Singapore,"1.2833,103.8333",130,78,0,13,0,0
3/7/20,,,Singapore,"1.2833,103.8333",138,78,0,8,0,0
3/8/20,,,Singapore,"1.2833,103.8333",150,78,0,12,0,0
3/9/20,,,Singapore,"1.2833,103.8333",150,78,0,0,0,0
3/10/20,,,Singapore,"1.2833,103.8333",160,78,0,10,0,0
3/11/20,,,Singapore,"1.2833,103.8333",178,96,0,18,18,0
3/12/20,,,Singapore,"1.2833,103.8333",178,96,0,0,0,0
1/22/20,,,Nepal,"28.1667,84.25",0,0,0,-1,-1,-1
1/23/20,,,Nepal,"28.1667,84.25",0,0,0,0,0,0
1/24/20,,,Nepal,"28.1667,84.25",0,0,0,0,0,0
1/25/20,,,Nepal,"28.1667,84.25",1,0,0,1,0,0
1/26/20,,,Nepal,"28.1667,84.25",1,0,0,0,0,0
1/27/20,,,Nepal,"28.1667,84.25",1,0,0,0,0,0
1/28/20,,,Nepal,"28.1667,84.25",1,0,0,0,0,0
1/29/20,,,Nepal,"28.1667,84.25",1,0,0,0,0,0
1/30/20,,,Nepal,"28.1667,84.25",1,0,0,0,0,0
1/31/20,,,Nepal,"28.1667,84.25",1,0,0,0,0,0
2/1/20,,,Nepal,"28.1667,84.25",1,0,0,0,0,0
2/2/20,,,Nepal,"28.1667,84.25",1,0,0,0,0,0
2/3/20,,,Nepal,"28.1667,84.25",1,0,0,0,0,0
2/4/20,,,Nepal,"28.1667,84.25",1,0,0,0,0,0
2/5/20,,,Nepal,"28.1667,84.25",1,0,0,0,0,0
2/6/20,,,Nepal,"28.1667,84.25",1,0,0,0,0,0
2/7/20,,,Nepal,"28.1667,84.25",1,0,0,0,0,0
2/8/20,,,Nepal,"28.1667,84.25",1,0,0,0,0,0
2/9/20,,,Nepal,"28.1667,84.25",1,0,0,0,0,0
2/10/20,,,Nepal,"28.1667,84.25",1,0,0,0,0,0
2/11/20,,,Nepal,"28.1667,84.25",1,0,0,0,0,0
2/12/20,,,Nepal,"28.1667,84.25",1,1,0,0,1,0
2/13/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
2/14/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
2/15/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
2/16/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
2/17/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
2/18/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
2/19/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
2/20/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
2/21/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
2/22/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
2/23/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
2/24/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
2/25/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
2/26/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
2/27/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
2/28/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
2/29/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
3/1/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
3/2/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
3/3/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
3/4/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
3/5/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
3/6/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
3/7/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
3/8/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
3/9/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
3/10/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
3/11/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
3/12/20,,,Nepal,"28.1667,84.25",1,1,0,0,0,0
1/22/20,,,Malaysia,"2.5,112.5",0,0,0,-1,-1,-1
1/23/20,,,Malaysia,"2.5,112.5",0,0,0,0,0,0
1/24/20,,,Malaysia,"2.5,112.5",0,0,0,0,0,0
1/25/20,,,Malaysia,"2.5,112.5",3,0,0,3,0,0
1/26/20,,,Malaysia,"2.5,112.5",4,0,0,1,0,0
1/27/20,,,Malaysia,"2.5,112.5",4,0,0,0,0,0
1/28/20,,,Malaysia,"2.5,112.5",4,0,0,0,0,0
1/29/20,,,Malaysia,"2.5,112.5",7,0,0,3,0,0
1/30/20,,,Malaysia,"2.5,112.5",8,0,0,1,0,0
1/31/20,,,Malaysia,"2.5,112.5",8,0,0,0,0,0
2/1/20,,,Malaysia,"2.5,112.5",8,0,0,0,0,0
2/2/20,,,Malaysia,"2.5,112.5",8,0,0,0,0,0
2/3/20,,,Malaysia,"2.5,112.5",8,0,0,0,0,0
2/4/20,,,Malaysia,"2.5,112.5",10,0,0,2,0,0
2/5/20,,,Malaysia,"2.5,112.5",12,0,0,2,0,0
2/6/20,,,Malaysia,"2.5,112.5",12,0,0,0,0,0
2/7/20,,,Malaysia,"2.5,112.5",12,1,0,0,1,0
2/8/20,,,Malaysia,"2.5,112.5",16,1,0,4,0,0
2/9/20,,,Malaysia,"2.5,112.5",16,1,0,0,0,0
2/10/20,,,Malaysia,"2.5,112.5",18,1,0,2,0,0
2/11/20,,,Malaysia,"2.5,112.5",18,3,0,0,2,0
2/12/20,,,Malaysia,"2.5,112.5",18,3,0,0,0,0
2/13/20,,,Malaysia,"2.5,112.5",19,3,0,1,0,0
2/14/20,,,Malaysia,"2.5,112.5",19,3,0,0,0,0
2/15/20,,,Malaysia,"2.5,112.5",22,7,0,3,4,0
2/16/20,,,Malaysia,"2.5,112.5",22,7,0,0,0,0
2/17/20,,,Malaysia,"2.5,112.5",22,7,0,0,0,0
2/18/20,,,Malaysia,"2.5,112.5",22,13,0,0,6,0
2/19/20,,,Malaysia,"2.5,112.5",22,15,0,0,2,0
2/20/20,,,Malaysia,"2.5,112.5",22,15,0,0,0,0
2/21/20,,,Malaysia,"2.5,112.5",22,15,0,0,0,0
2/22/20,,,Malaysia,"2.5,112.5",22,15,0,0,0,0
2/23/20,,,Malaysia,"2.5,112.5",22,15,0,0,0,0
2/24/20,,,Malaysia,"2.5,112.5",22,18,0,0,3,0
2/25/20,,,Malaysia,"2.5,112.5",22,18,0,0,0,0
2/26/20,,,Malaysia,"2.5,112.5",22,18,0,0,0,0
2/27/20,,,Malaysia,"2.5,112.5",23,18,0,1,0,0
2/28/20,,,Malaysia,"2.5,112.5",23,18,0,0,0,0
2/29/20,,,Malaysia,"2.5,112.5",25,18,0,2,0,0
3/1/20,,,Malaysia,"2.5,112.5",29,18,0,4,0,0
3/2/20,,,Malaysia,"2.5,112.5",29,18,0,0,0,0
3/3/20,,,Malaysia,"2.5,112.5",36,22,0,7,4,0
3/4/20,,,Malaysia,"2.5,112.5",50,22,0,14,0,0
3/5/20,,,Malaysia,"2.5,112.5",50,22,0,0,0,0
3/6/20,,,Malaysia,"2.5,112.5",83,22,0,33,0,0
3/7/20,,,Malaysia,"2.5,112.5",93,23,0,10,1,0
3/8/20,,,Malaysia,"2.5,112.5",99,24,0,6,1,0
3/9/20,,,Malaysia,"2.5,112.5",117,24,0,18,0,0
3/10/20,,,Malaysia,"2.5,112.5",129,24,0,12,0,0
3/11/20,,,Malaysia,"2.5,112.5",149,26,0,20,2,0
3/12/20,,,Malaysia,"2.5,112.5",149,26,0,0,0,0
1/22/20,British Columbia,,Canada,"49.2827,-123.1207",0,0,0,-1,-1,-1
1/23/20,British Columbia,,Canada,"49.2827,-123.1207",0,0,0,0,0,0
1/24/20,British Columbia,,Canada,"49.2827,-123.1207",0,0,0,0,0,0
1/25/20,British Columbia,,Canada,"49.2827,-123.1207",0,0,0,0,0,0
1/26/20,British Columbia,,Canada,"49.2827,-123.1207",0,0,0,0,0,0
1/27/20,British Columbia,,Canada,"49.2827,-123.1207",0,0,0,0,0,0
1/28/20,British Columbia,,Canada,"49.2827,-123.1207",1,0,0,1,0,0
1/29/20,British Columbia,,Canada,"49.2827,-123.1207",1,0,0,0,0,0
1/30/20,British Columbia,,Canada,"49.2827,-123.1207",1,0,0,0,0,0
1/31/20,British Columbia,,Canada,"49.2827,-123.1207",1,0,0,0,0,0
2/1/20,British Columbia,,Canada,"49.2827,-123.1207",1,0,0,0,0,0
2/2/20,British Columbia,,Canada,"49.2827,-123.1207",1,0,0,0,0,0
2/3/20,British Columbia,,Canada,"49.2827,-123.1207",1,0,0,0,0,0
2/4/20,British Columbia,,Canada,"49.2827,-123.1207",1,0,0,0,0,0
2/5/20,British Columbia,,Canada,"49.2827,-123.1207",2,0,0,1,0,0
2/6/20,British Columbia,,Canada,"49.2827,-123.1207",2,0,0,0,0,0
2/7/20,British Columbia,,Canada,"49.2827,-123.1207",4,0,0,2,0,0
2/8/20,British Columbia,,Canada,"49.2827,-123.1207",4,0,0,0,0,0
2/9/20,British Columbia,,Canada,"49.2827,-123.1207",4,0,0,0,0,0
2/10/20,British Columbia,,Canada,"49.2827,-123.1207",4,0,0,0,0,0
2/11/20,British Columbia,,Canada,"49.2827,-123.1207",4,0,0,0,0,0
2/12/20,British Columbia,,Canada,"49.2827,-123.1207",4,0,0,0,0,0
2/13/20,British Columbia,,Canada,"49.2827,-123.1207",4,0,0,0,0,0
2/14/20,British Columbia,,Canada,"49.2827,-123.1207",4,0,0,0,0,0
2/15/20,British Columbia,,Canada,"49.2827,-123.1207",4,0,0,0,0,0
2/16/20,British Columbia,,Canada,"49.2827,-123.1207",4,0,0,0,0,0
2/17/20,British Columbia,,Canada,"49.2827,-123.1207",5,0,0,1,0,0
2/18/20,British Columbia,,Canada,"49.2827,-123.1207",5,0,0,0,0,0
2/19/20,British Columbia,,Canada,"49.2827,-123.1207",5,0,0,0,0,0
2/20/20,British Columbia,,Canada,"49.2827,-123.1207",5,0,0,0,0,0
2/21/20,British Columbia,,Canada,"49.2827,-123.1207",6,0,0,1,0,0
2/22/20,British Columbia,,Canada,"49.2827,-123.1207",6,0,0,0,0,0
2/23/20,British Columbia,,Canada,"49.2827,-123.1207",6,0,0,0,0,0
2/24/20,British Columbia,,Canada,"49.2827,-123.1207",6,0,0,0,0,0
2/25/20,British Columbia,,Canada,"49.2827,-123.1207",7,0,0,1,0,0
2/26/20,British Columbia,,Canada,"49.2827,-123.1207",7,0,0,0,0,0
2/27/20,British Columbia,,Canada,"49.2827,-123.1207",7,3,0,0,3,0
2/28/20,British Columbia,,Canada,"49.2827,-123.1207",7,3,0,0,0,0
2/29/20,British Columbia,,Canada,"49.2827,-123.1207",8,3,0,1,0,0
3/1/20,British Columbia,,Canada,"49.2827,-123.1207",8,3,0,0,0,0
3/2/20,British Columbia,,Canada,"49.2827,-123.1207",8,3,0,0,0,0
3/3/20,British Columbia,,Canada,"49.2827,-123.1207",9,3,0,1,0,0
3/4/20,British Columbia,,Canada,"49.2827,-123.1207",12,3,0,3,0,0
3/5/20,British Columbia,,Canada,"49.2827,-123.1207",13,3,0,1,0,0
3/6/20,British Columbia,,Canada,"49.2827,-123.1207",21,3,0,8,0,0
3/7/20,British Columbia,,Canada,"49.2827,-123.1207",21,4,0,0,1,0
3/8/20,British Columbia,,Canada,"49.2827,-123.1207",27,4,0,6,0,0
3/9/20,British Columbia,,Canada,"49.2827,-123.1207",32,4,1,5,0,1
3/10/20,British Columbia,,Canada,"49.2827,-123.1207",32,4,1,0,0,0
3/11/20,British Columbia,,Canada,"49.2827,-123.1207",39,4,1,7,0,0
3/12/20,British Columbia,,Canada,"49.2827,-123.1207",46,4,1,7,0,0
1/22/20,New South Wales,,Australia,"-33.8688,151.2093",0,0,0,-1,-1,-1
1/23/20,New South Wales,,Australia,"-33.8688,151.2093",0,0,0,0,0,0
1/24/20,New South Wales,,Australia,"-33.8688,151.2093",0,0,0,0,0,0
1/25/20,New South Wales,,Australia,"-33.8688,151.2093",0,0,0,0,0,0
1/26/20,New South Wales,,Australia,"-33.8688,151.2093",3,0,0,3,0,0
1/27/20,New South Wales,,Australia,"-33.8688,151.2093",4,0,0,1,0,0
1/28/20,New South Wales,,Australia,"-33.8688,151.2093",4,0,0,0,0,0
1/29/20,New South Wales,,Australia,"-33.8688,151.2093",4,0,0,0,0,0
1/30/20,New South Wales,,Australia,"-33.8688,151.2093",4,2,0,0,2,0
1/31/20,New South Wales,,Australia,"-33.8688,151.2093",4,2,0,0,0,0
2/1/20,New South Wales,,Australia,"-33.8688,151.2093",4,2,0,0,0,0
2/2/20,New South Wales,,Australia,"-33.8688,151.2093",4,2,0,0,0,0
2/3/20,New South Wales,,Australia,"-33.8688,151.2093",4,2,0,0,0,0
2/4/20,New South Wales,,Australia,"-33.8688,151.2093",4,2,0,0,0,0
2/5/20,New South Wales,,Australia,"-33.8688,151.2093",4,2,0,0,0,0
2/6/20,New South Wales,,Australia,"-33.8688,151.2093",4,2,0,0,0,0
2/7/20,New South Wales,,Australia,"-33.8688,151.2093",4,2,0,0,0,0
2/8/20,New South Wales,,Australia,"-33.8688,151.2093",4,2,0,0,0,0
2/9/20,New South Wales,,Australia,"-33.8688,151.2093",4,2,0,0,0,0
2/10/20,New South Wales,,Australia,"-33.8688,151.2093",4,2,0,0,0,0
2/11/20,New South Wales,,Australia,"-33.8688,151.2093",4,2,0,0,0,0
2/12/20,New South Wales,,Australia,"-33.8688,151.2093",4,2,0,0,0,0
2/13/20,New South Wales,,Australia,"-33.8688,151.2093",4,4,0,0,2,0
2/14/20,New South Wales,,Australia,"-33.8688,151.2093",4,4,0,0,0,0
2/15/20,New South Wales,,Australia,"-33.8688,151.2093",4,4,0,0,0,0
2/16/20,New South Wales,,Australia,"-33.8688,151.2093",4,4,0,0,0,0
2/17/20,New South Wales,,Australia,"-33.8688,151.2093",4,4,0,0,0,0
2/18/20,New South Wales,,Australia,"-33.8688,151.2093",4,4,0,0,0,0
2/19/20,New South Wales,,Australia,"-33.8688,151.2093",4,4,0,0,0,0
2/20/20,New South Wales,,Australia,"-33.8688,151.2093",4,4,0,0,0,0
2/21/20,New South Wales,,Australia,"-33.8688,151.2093",4,4,0,0,0,0
2/22/20,New South Wales,,Australia,"-33.8688,151.2093",4,4,0,0,0,0
2/23/20,New South Wales,,Australia,"-33.8688,151.2093",4,4,0,0,0,0
2/24/20,New South Wales,,Australia,"-33.8688,151.2093",4,4,0,0,0,0
2/25/20,New South Wales,,Australia,"-33.8688,151.2093",4,4,0,0,0,0
2/26/20,New South Wales,,Australia,"-33.8688,151.2093",4,4,0,0,0,0
2/27/20,New South Wales,,Australia,"-33.8688,151.2093",4,4,0,0,0,0
2/28/20,New South Wales,,Australia,"-33.8688,151.2093",4,4,0,0,0,0
2/29/20,New South Wales,,Australia,"-33.8688,151.2093",4,4,0,0,0,0
3/1/20,New South Wales,,Australia,"-33.8688,151.2093",6,4,0,2,0,0
3/2/20,New South Wales,,Australia,"-33.8688,151.2093",6,4,0,0,0,0
3/3/20,New South Wales,,Australia,"-33.8688,151.2093",13,4,0,7,0,0
3/4/20,New South Wales,,Australia,"-33.8688,151.2093",22,4,1,9,0,1
3/5/20,New South Wales,,Australia,"-33.8688,151.2093",22,4,1,0,0,0
3/6/20,New South Wales,,Australia,"-33.8688,151.2093",26,4,1,4,0,0
3/7/20,New South Wales,,Australia,"-33.8688,151.2093",28,4,1,2,0,0
3/8/20,New South Wales,,Australia,"-33.8688,151.2093",38,4,2,10,0,1
3/9/20,New South Wales,,Australia,"-33.8688,151.2093",48,4,2,10,0,0
3/10/20,New South Wales,,Australia,"-33.8688,151.2093",55,4,2,7,0,0
3/11/20,New South Wales,,Australia,"-33.8688,151.2093",65,4,2,10,0,0
3/12/20,New South Wales,,Australia,"-33.8688,151.2093",65,4,2,0,0,0
1/22/20,Victoria,,Australia,"-37.8136,144.9631",0,0,0,-1,-1,-1
1/23/20,Victoria,,Australia,"-37.8136,144.9631",0,0,0,0,0,0
1/24/20,Victoria,,Australia,"-37.8136,144.9631",0,0,0,0,0,0
1/25/20,Victoria,,Australia,"-37.8136,144.9631",0,0,0,0,0,0
1/26/20,Victoria,,Australia,"-37.8136,144.9631",1,0,0,1,0,0
1/27/20,Victoria,,Australia,"-37.8136,144.9631",1,0,0,0,0,0
1/28/20,Victoria,,Australia,"-37.8136,144.9631",1,0,0,0,0,0
1/29/20,Victoria,,Australia,"-37.8136,144.9631",1,0,0,0,0,0
1/30/20,Victoria,,Australia,"-37.8136,144.9631",2,0,0,1,0,0
1/31/20,Victoria,,Australia,"-37.8136,144.9631",3,0,0,1,0,0
2/1/20,Victoria,,Australia,"-37.8136,144.9631",4,0,0,1,0,0
2/2/20,Victoria,,Australia,"-37.8136,144.9631",4,0,0,0,0,0
2/3/20,Victoria,,Australia,"-37.8136,144.9631",4,0,0,0,0,0
2/4/20,Victoria,,Australia,"-37.8136,144.9631",4,0,0,0,0,0
2/5/20,Victoria,,Australia,"-37.8136,144.9631",4,0,0,0,0,0
2/6/20,Victoria,,Australia,"-37.8136,144.9631",4,0,0,0,0,0
2/7/20,Victoria,,Australia,"-37.8136,144.9631",4,0,0,0,0,0
2/8/20,Victoria,,Australia,"-37.8136,144.9631",4,0,0,0,0,0
2/9/20,Victoria,,Australia,"-37.8136,144.9631",4,0,0,0,0,0
2/10/20,Victoria,,Australia,"-37.8136,144.9631",4,0,0,0,0,0
2/11/20,Victoria,,Australia,"-37.8136,144.9631",4,0,0,0,0,0
2/12/20,Victoria,,Australia,"-37.8136,144.9631",4,0,0,0,0,0
2/13/20,Victoria,,Australia,"-37.8136,144.9631",4,4,0,0,4,0
2/14/20,Victoria,,Australia,"-37.8136,144.9631",4,4,0,0,0,0
2/15/20,Victoria,,Australia,"-37.8136,144.9631",4,4,0,0,0,0
2/16/20,Victoria,,Australia,"-37.8136,144.9631",4,4,0,0,0,0
2/17/20,Victoria,,Australia,"-37.8136,144.9631",4,4,0,0,0,0
2/18/20,Victoria,,Australia,"-37.8136,144.9631",4,4,0,0,0,0
2/19/20,Victoria,,Australia,"-37.8136,144.9631",4,4,0,0,0,0
2/20/20,Victoria,,Australia,"-37.8136,144.9631",4,4,0,0,0,0
2/21/20,Victoria,,Australia,"-37.8136,144.9631",4,4,0,0,0,0
