,country,countrystd,date,date1,date2,lat,lon,text,source,alltext
10,Aruba,Aruba,16.03.2020,2020-03-16,20200316,12.516935269076281,-69.97420075028728, Passengers are not allowed to enter Aruba. -This does not apply to residents of Aruba. -This does not apply to airline crew. , https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm ,Aruba: Passengers are not allowed to enter Aruba. -This does not apply to residents of Aruba. -This does not apply to airline crew. Source: https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm Published on 16.03
11,Central African Republic,Central African Rep.,16.03.2020,2020-03-16,20200316,6.56632186015914,20.464809197122026," In Bangui, the health staff at the airport are monitoring passengers arriving from international flights and also ""applying"" the quarantine as per the letter from the ministry of health Authorities reserve the right to impose a 14-day self-quarantine for arriving travellers. ", UNHAS (source: Interational SOS) ,"Central African Republic: In Bangui, the health staff at the airport are monitoring passengers arriving from international flights and also ""applying"" the quarantine as per the letter from the ministry of health Authorities reserve the right to impose a 14-day self-quarantine for arriving travellers. Source: UNHAS (source: Interational SOS) Published on 16.03"
12,Eritrea,Eritrea,16.03.2020,2020-03-16,20200316,15.35751371757259,38.852944405249865, Chinese and Italian passengers shall be quarantined upon arrival. , https://www.ethiopianairlines.com/aa/en/breaking-news/updates-and-health-advisory-on-the-covid-19-virus ,Eritrea: Chinese and Italian passengers shall be quarantined upon arrival. Source: https://www.ethiopianairlines.com/aa/en/breaking-news/updates-and-health-advisory-on-the-covid-19-virus Published on 16.03
13,Kosovo,Kosovo,16.03.2020,2020-03-16,20200316,42.5728833561224,20.873742977543927, Pristina Airport in Kosovo suspends all flights until further notice because of COVID-19 , Simple Flying ,Kosovo: Pristina Airport in Kosovo suspends all flights until further notice because of COVID-19 Source: Simple Flying Published on 16.03
14,Lesotho,Lesotho,16.03.2020,2020-03-16,20200316,-29.579730444231778,28.228622924994458," All travellers arriving in Lesotho will be screened for coronavirus. Anyone showing symptoms of coronavirus may be placed in an isolation facility. You should comply with any additional screening measures by the authorities if asked to go through extra checks. Individuals who have been in coronavirus affected areas within the past 14 days, including the UK, may be required to self-isolate for 14 days. ", https://www.gov.uk/foreign-travel-advice/lesotho/health#coronavirus ,"Lesotho: All travellers arriving in Lesotho will be screened for coronavirus. Anyone showing symptoms of coronavirus may be placed in an isolation facility. You should comply with any additional screening measures by the authorities if asked to go through extra checks. Individuals who have been in coronavirus affected areas within the past 14 days, including the UK, may be required to self-isolate for 14 days. Source: https://www.gov.uk/foreign-travel-advice/lesotho/health#coronavirus Published on 16.03"
15,Republic of Moldova,Moldova,16.03.2020,2020-03-16,20200316,47.195101391920126,28.461397116362114," Passengers who have transited through or have been in China (People's Rep.), France, Iran, Italy, Korea Rep. or Spain are not allowed to enter Moldova. Effective 17 March 2020 Passengers are not allowed to enter Moldova (Rep.). - This does not apply to nationals and residents of Moldova (Rep.). ", https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm ,"Republic of Moldova: Passengers who have transited through or have been in China (People's Rep.), France, Iran, Italy, Korea Rep. or Spain are not allowed to enter Moldova. Effective 17 March 2020: Passengers are not allowed to enter Moldova (Rep.). - This does not apply to nationals and residents of Moldova (Rep.). Source: https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm Published on 16.03"
16,Saba,Saba,16.03.2020,2020-03-16,20200316,,," Effective March 16, 2020 Saba will restrict entry to Saba to all travelers except for legal residents of Saba. Saba’s travel restrictions pertain to visitors from all countries and islands, including regional travel. Residents of Saba are able to return home to Saba, but will have to go into self-quarantine for 14 days, no matter which country they are returning from. Cargo boats are still able to travel to the island, as well as the ferries and airlines, although their schedules may change because of the decrease in passenger travel. ", https://cw.usconsulate.gov/news-events/covid-19-information/ ,"Saba: Effective March 16, 2020 Saba will restrict entry to Saba to all travelers except for legal residents of Saba. Saba’s travel restrictions pertain to visitors from all countries and islands, including regional travel. Residents of Saba are able to return home to Saba, but will have to go into self-quarantine for 14 days, no matter which country they are returning from. Cargo boats are still able to travel to the island, as well as the ferries and airlines, although their schedules may change because of the decrease in passenger travel. Source: https://cw.usconsulate.gov/news-events/covid-19-information/ Published on 16.03"
17,Singapore,Singapore,16.03.2020,2020-03-16,20200316,1.358921020243721,103.8134676580174," As of 15 March  1. Passengers who have been in China (People's Rep.), France, Germany, Iran, Italy, Korea (Rep.) or Spain in the last 14 days are not allowed to transit or enter Singapore. - This does not apply to returning residents of Singapore (Singapore Citizens, Permanent Residents or Long-Term Pass Holders(including holders of Work Pass, Student's Pass, Dependant's Pass, and Long-Term Visit Pass)). If they have been in Hubei Province (China People's Rep.) within the last 14 days, they will be quarantined for 14 days upon entry into Singapore. For others, they will be issued a 14-day Stay-Home-Notice (SHN) upon entry into Singapore. 2. Passengers who have been in Brunei Darussalam, Cambodia, Indonesia, Japan, Lao People's Dem. Rep., Malaysia, Myanmar, Philippines, Switzerland, Thailand, Vietnam or the United Kingdom in the last 14 days will be issued a 14-day SHN upon entry into Singapore. In addition, they will have to provide proof of the place where they will serve the 14-day SHN, such as a hotel booking covering the entire period, or a place of residence they or their family members own. - This does not apply to passengers who are transiting in Singapore without leaving the airport transit area. 3. Nationals of Brunei Darussalam, Cambodia, Indonesia, Lao People's Dem. Rep., Malaysia, Myanmar, Philippines, Thailand, and Vietnam will have to submit requisite information on their health to the Singapore Overseas Mission in the country they are resident before their intended date of travel. The submission will have to be approved by Singapore's Ministry of Health (MOH) before travel to Singapore, and the approval will be verified by the Singapore Immigration and Checkpoints Authority (ICA) officers at the immigration checkpoint for entry into Singapore. - This does not apply to passengers who are transiting in Singapore without leaving the airport transit area. 4. For work pass holders who have been in Brunei Darussalam, Cambodia, France, Germany, Indonesia, Iran, Italy, Japan, Korea (Rep.), Lao People's Dem. Rep., Malaysia, mainland China (People's Rep.), Myanmar, the Philippines, Spain, Switzerland, Thailand, Vietnam or the United Kingdom within the last 14 days, they are allowed to enter Singapore, subjected to the Ministry of Manpower's (MOM) prior approval. They are required to show the MOM's approval letter to airline staff upon check-in and before boarding, as well as to ICA officers at the immigration checkpoint upon their arrival in Singapore. 5. Foreign domestic workers (FDWs) are allowed to enter Singapore, subjected to the MOM's prior approval. They will be required to show the MOM's approval letter to the airline staff at check-in and before boarding at the point of departure, as well as to ICA officers at the immigration checkpoint upon their arrival in Singapore. - The entry approval requirement will apply to new and existing FDWs travelling to Singapore from any country. New FDWs will require an In-Principle Approval Letter from MOM. Existing FDWs will require a valid MOM-issued Work Permit (Domestic Sector) Pass. 6. Nationals of China (People's Rep.) with a passport issued in Hubei Province (China People's Rep.) are not allowed to transit or enter Singapore. - This does not apply to returning residents of Singapore (Permanent Residents or Long-Term Pass Holders(including holders of Work Pass, Student's Pass, Dependant's Pass, and Long-Term Visit Pass) ). They will be quarantined for 14 days upon entry into Singapore. 7. The issuance of all forms of new visas and previously issued visas to nationals of China (People's Rep) and Iran have been suspended. During this period of suspension, they will not be allowed entry into Singapore. 8. Passengers and crew members who were on the cruise ship ""Diamond Princess"" are not allowed to transit or enter Singapore from 19 February 2020 to 18 March 2020. - This does not apply to returning residents of Singapore (Permanent Residents or Long-Term Pass Holders(including holders of Work Pass, Student's Pass, Dependant's Pass, and Long-Term Visit Pass) ). They will be quarantined for 14 days upon entry into Singapore. 9. Passengers with an Approved Letter for Entry from the Singapore Immigration & Checkpoints Authority will not be subject to the above restrictions. However, they may still be subjected to the prevailing health screening requirement upon arriving at Singapore airport. Possession of an Approved Letter for Entry does not guarantee the issuance of a Visit Pass to enter Singapore. ", https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm ,"Singapore: As of 15 March:  1. Passengers who have been in China (People's Rep.), France, Germany, Iran, Italy, Korea (Rep.) or Spain in the last 14 days are not allowed to transit or enter Singapore. - This does not apply to returning residents of Singapore (Singapore Citizens, Permanent Residents or Long-Term Pass Holders(including holders of Work Pass, Student's Pass, Dependant's Pass, and Long-Term Visit Pass)). If they have been in Hubei Province (China People's Rep.) within the last 14 days, they will be quarantined for 14 days upon entry into Singapore. For others, they will be issued a 14-day Stay-Home-Notice (SHN) upon entry into Singapore. 2. Passengers who have been in Brunei Darussalam, Cambodia, Indonesia, Japan, Lao People's Dem. Rep., Malaysia, Myanmar, Philippines, Switzerland, Thailand, Vietnam or the United Kingdom in the last 14 days will be issued a 14-day SHN upon entry into Singapore. In addition, they will have to provide proof of the place where they will serve the 14-day SHN, such as a hotel booking covering the entire period, or a place of residence they or their family members own. - This does not apply to passengers who are transiting in Singapore without leaving the airport transit area. 3. Nationals of Brunei Darussalam, Cambodia, Indonesia, Lao People's Dem. Rep., Malaysia, Myanmar, Philippines, Thailand, and Vietnam will have to submit requisite information on their health to the Singapore Overseas Mission in the country they are resident before their intended date of travel. The submission will have to be approved by Singapore's Ministry of Health (MOH) before travel to Singapore, and the approval will be verified by the Singapore Immigration and Checkpoints Authority (ICA) officers at the immigration checkpoint for entry into Singapore. - This does not apply to passengers who are transiting in Singapore without leaving the airport transit area. 4. For work pass holders who have been in Brunei Darussalam, Cambodia, France, Germany, Indonesia, Iran, Italy, Japan, Korea (Rep.), Lao People's Dem. Rep., Malaysia, mainland China (People's Rep.), Myanmar, the Philippines, Spain, Switzerland, Thailand, Vietnam or the United Kingdom within the last 14 days, they are allowed to enter Singapore, subjected to the Ministry of Manpower's (MOM) prior approval. They are required to show the MOM's approval letter to airline staff upon check-in and before boarding, as well as to ICA officers at the immigration checkpoint upon their arrival in Singapore. 5. Foreign domestic workers (FDWs) are allowed to enter Singapore, subjected to the MOM's prior approval. They will be required to show the MOM's approval letter to the airline staff at check-in and before boarding at the point of departure, as well as to ICA officers at the immigration checkpoint upon their arrival in Singapore. - The entry approval requirement will apply to new and existing FDWs travelling to Singapore from any country. New FDWs will require an In-Principle Approval Letter from MOM. Existing FDWs will require a valid MOM-issued Work Permit (Domestic Sector) Pass. 6. Nationals of China (People's Rep.) with a passport issued in Hubei Province (China People's Rep.) are not allowed to transit or enter Singapore. - This does not apply to returning residents of Singapore (Permanent Residents or Long-Term Pass Holders(including holders of Work Pass, Student's Pass, Dependant's Pass, and Long-Term Visit Pass) ). They will be quarantined for 14 days upon entry into Singapore. 7. The issuance of all forms of new visas and previously issued visas to nationals of China (People's Rep) and Iran have been suspended. During this period of suspension, they will not be allowed entry into Singapore. 8. Passengers and crew members who were on the cruise ship ""Diamond Princess"" are not allowed to transit or enter Singapore from 19 February 2020 to 18 March 2020. - This does not apply to returning residents of Singapore (Permanent Residents or Long-Term Pass Holders(including holders of Work Pass, Student's Pass, Dependant's Pass, and Long-Term Visit Pass) ). They will be quarantined for 14 days upon entry into Singapore. 9. Passengers with an Approved Letter for Entry from the Singapore Immigration & Checkpoints Authority will not be subject to the above restrictions. However, they may still be subjected to the prevailing health screening requirement upon arriving at Singapore airport. Possession of an Approved Letter for Entry does not guarantee the issuance of a Visit Pass to enter Singapore. Source: https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm Published on 16.03"
18,Slovenia,Slovenia,16.03.2020,2020-03-16,20200316,46.11611107314387,14.808089734627035," Slovenia will shut down its air traffic from Tuesday, March 17, in an attempt to reduce the spread of the coronavirus Covid-19. Borders partially closed, specifically with Italy. No travel restrictions, but the Slovenian government has advised its citizens not to travel outside of Slovenia. From March 16 onwards, there will be no commercial flights from Ljubljana airport and public transport in the country has ceased operations. "," Sources, https://www.exyuaviation.com/2020/03/slovenia-to-suspend-all-commercial.html ","Slovenia: Slovenia will shut down its air traffic from Tuesday, March 17, in an attempt to reduce the spread of the coronavirus Covid-19. Borders partially closed, specifically with Italy. No travel restrictions, but the Slovenian government has advised its citizens not to travel outside of Slovenia. From March 16 onwards, there will be no commercial flights from Ljubljana airport and public transport in the country has ceased operations. Source: Sources, https://www.exyuaviation.com/2020/03/slovenia-to-suspend-all-commercial.html Published on 16.03"
19,Ukraine,Ukraine,16.03.2020,2020-03-16,20200316,49.160078305533816,31.25530618308706," Passengers will not be allowed to enter or transit Ukraine until 3 April 2020. -This does not apply to nationals of Ukraine, to residents of Ukraine, to spouses and children of Ukrainian nationals, to (accredited) representatives of official international and diplomatic organizations (and their family members), to crewmembers, and to representatives of humanitarian missions (and their family members). On 17 March 2020, at 0000 local time (GMT+2), all border crossing points will be closed (for any international border crossing) until 3 April 2020. This does not apply to border crossings required to safeguard national interests, and to representatives of diplomatic organizations and humanitarian missions. ", https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm ,"Ukraine: Passengers will not be allowed to enter or transit Ukraine until 3 April 2020. -This does not apply to nationals of Ukraine, to residents of Ukraine, to spouses and children of Ukrainian nationals, to (accredited) representatives of official international and diplomatic organizations (and their family members), to crewmembers, and to representatives of humanitarian missions (and their family members). On 17 March 2020, at 00:00 local time (GMT+2), all border crossing points will be closed (for any international border crossing) until 3 April 2020. This does not apply to border crossings required to safeguard national interests, and to representatives of diplomatic organizations and humanitarian missions. Source: https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm Published on 16.03"
